"","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","69%","70%","71%","72%","73%","74%","75%","76%","77%","78%","79%","80%","81%","82%","83%","84%","85%","86%","87%","88%","89%","90%","91%","92%","93%","94%","95%","96%","97%","98%","99%","100%"
"0 to 19",7.41030243816161e-06,8.67349136333348e-06,8.8717610244387e-06,8.99665168389261e-06,9.09087721679755e-06,9.16693968555151e-06,9.23125161047263e-06,9.28838919683807e-06,9.34017347406333e-06,9.38632853892975e-06,9.43081300041621e-06,9.47196553862357e-06,9.51119303426109e-06,9.54683918586421e-06,9.58150881972857e-06,9.61451785664894e-06,9.64749706973288e-06,9.67729155749583e-06,9.70721109526134e-06,9.73678539632815e-06,9.76473228786397e-06,9.79239109110383e-06,9.81905619621071e-06,9.84506502932129e-06,9.87050680676603e-06,9.89465480979417e-06,9.91886895644817e-06,9.94262277351746e-06,9.96636992993837e-06,9.98836280513139e-06,1.00117801662195e-05,1.00334675833539e-05,1.00549646420443e-05,1.00770010938399e-05,1.00980479453372e-05,1.0119108873906e-05,1.01405668366409e-05,1.01611975798641e-05,1.0181879764847e-05,1.02027496854806e-05,1.02230901776758e-05,1.02437400278877e-05,1.02638172087758e-05,1.02842727474314e-05,1.03046772992261e-05,1.03252884019521e-05,1.03457225732491e-05,1.03657586679183e-05,1.03861109465859e-05,1.0405731083581e-05,1.04263935325838e-05,1.04464212936034e-05,1.04666707290098e-05,1.0486821594927e-05,1.05075103936765e-05,1.05273554779922e-05,1.05482923993501e-05,1.05682920784478e-05,1.05889580380089e-05,1.06096638698004e-05,1.06310068884148e-05,1.06525952068913e-05,1.06738652046009e-05,1.06949440835314e-05,1.07177538667007e-05,1.07395120194272e-05,1.07614884590006e-05,1.0784549494547e-05,1.08085657891077e-05,1.08316955165812e-05,1.08542851306473e-05,1.08776988312318e-05,1.09017148219114e-05,1.09260308267212e-05,1.09510599430787e-05,1.09773934201236e-05,1.10039641612864e-05,1.10310568305777e-05,1.10589318844654e-05,1.10876500333716e-05,1.11180899107174e-05,1.1148948252259e-05,1.11808184800957e-05,1.12137613282094e-05,1.12480744593773e-05,1.12851894116603e-05,1.132193147774e-05,1.13629778608587e-05,1.14059434055126e-05,1.14512560991939e-05,1.14978893467333e-05,1.15507585113273e-05,1.16076251954539e-05,1.1670969934877e-05,1.17410131382602e-05,1.18232901274795e-05,1.19131541362666e-05,1.20270370854584e-05,1.21798249860231e-05,1.24224256697723e-05,1.46935995973739e-05
"20 to 29",1.64549212361975e-05,2.00244482252873e-05,2.04371348084396e-05,2.07072815085243e-05,2.09066949401073e-05,2.10700407795754e-05,2.12122357440879e-05,2.13331622756461e-05,2.14472597596e-05,2.15485226748408e-05,2.16410979259749e-05,2.17294089262617e-05,2.18105812198825e-05,2.18893843148011e-05,2.19641846484886e-05,2.20363585662796e-05,2.21072042181324e-05,2.21725347956706e-05,2.22347358198175e-05,2.22979951440645e-05,2.23575582419194e-05,2.24163567430527e-05,2.24731837563698e-05,2.25277602980684e-05,2.25834547040558e-05,2.26348349914317e-05,2.26857094222657e-05,2.27361198839011e-05,2.27824163046818e-05,2.28316534909622e-05,2.28785347783701e-05,2.29249295060446e-05,2.29715486548164e-05,2.301746150573e-05,2.3062313840814e-05,2.31084344142262e-05,2.31527169476904e-05,2.31955988386483e-05,2.32400629972527e-05,2.32843489273327e-05,2.33295590249603e-05,2.33721254237734e-05,2.34157022530489e-05,2.34596121986503e-05,2.3503893663504e-05,2.35475303524366e-05,2.35898473456373e-05,2.36320764951186e-05,2.36755905833481e-05,2.37190411953908e-05,2.37640202575362e-05,2.3808348495742e-05,2.38528907103034e-05,2.38966558896858e-05,2.39384106948119e-05,2.39825704871703e-05,2.40279564314307e-05,2.40719373850316e-05,2.41151403294642e-05,2.41583144033878e-05,2.4202119518528e-05,2.42459819149754e-05,2.42922860473308e-05,2.43379513856947e-05,2.43832315506024e-05,2.44290054658591e-05,2.44746012146852e-05,2.45217531941018e-05,2.45691513150894e-05,2.46194130576431e-05,2.46702290671848e-05,2.47220693407524e-05,2.47733561738016e-05,2.48271872317329e-05,2.48805395514645e-05,2.49359326670508e-05,2.4993544866613e-05,2.50521534163526e-05,2.5111193119757e-05,2.51724895858284e-05,2.52357523981058e-05,2.52997658638765e-05,2.53678749465896e-05,2.54352505510457e-05,2.5508681282266e-05,2.55827013818717e-05,2.56634177549967e-05,2.57479068369142e-05,2.58352383544362e-05,2.59305091304601e-05,2.60315895475928e-05,2.61407076769057e-05,2.62599304804129e-05,2.63896975496355e-05,2.65362496523939e-05,2.67028549064128e-05,2.69038218683543e-05,2.71515649157165e-05,2.74830997571655e-05,2.80182276881201e-05,3.25897295647067e-05
"30 to 39",4.55102250198855e-05,5.04495965926742e-05,5.11163492246805e-05,5.15349742356002e-05,5.18455616597607e-05,5.21112799647537e-05,5.23376964257465e-05,5.25232123915696e-05,5.26928889372739e-05,5.28484745276434e-05,5.29913985245375e-05,5.31258415977784e-05,5.32569353783195e-05,5.33763059723326e-05,5.34896529313628e-05,5.35949888684418e-05,5.37020498401635e-05,5.38026347614205e-05,5.38952683906848e-05,5.39872880073983e-05,5.4077712007569e-05,5.41640317262062e-05,5.4249712279536e-05,5.43305607756565e-05,5.44116611835873e-05,5.44888859326604e-05,5.45680998518209e-05,5.46472329941686e-05,5.47213947971849e-05,5.47952540472247e-05,5.48714600983711e-05,5.4944004445065e-05,5.50148423346251e-05,5.50874247044735e-05,5.51559824096074e-05,5.52266080190802e-05,5.52930032741221e-05,5.53610991792797e-05,5.54229457688941e-05,5.5491489678929e-05,5.55555151444101e-05,5.5621836719443e-05,5.56880138703666e-05,5.57528895759663e-05,5.58201298497965e-05,5.58845494355931e-05,5.59490365571999e-05,5.60107879851037e-05,5.60749091107099e-05,5.61410887498542e-05,5.62044415334834e-05,5.62704360432522e-05,5.6332598936668e-05,5.63974855055026e-05,5.64601698094149e-05,5.65250587607066e-05,5.65896337302615e-05,5.66528748336579e-05,5.67204605783232e-05,5.67815086224603e-05,5.68481088472427e-05,5.69158057859514e-05,5.69830412814543e-05,5.70517243446202e-05,5.71202093863838e-05,5.71888048789589e-05,5.72576090809196e-05,5.7326683392874e-05,5.73992815768965e-05,5.74754533178713e-05,5.75493079973288e-05,5.76223682005199e-05,5.77002410801736e-05,5.77769244231615e-05,5.7858953391737e-05,5.79409299126152e-05,5.80237702974611e-05,5.81103060362519e-05,5.81956238910496e-05,5.8284393483523e-05,5.83744800856418e-05,5.84714509151833e-05,5.8571776147459e-05,5.86732757875361e-05,5.87787097768247e-05,5.88939213437076e-05,5.90101066395693e-05,5.91346561425912e-05,5.92660994336144e-05,5.93982355149468e-05,5.95457882062601e-05,5.97071440232258e-05,5.9878284786197e-05,6.00582906047601e-05,6.02763621190616e-05,6.05231838739248e-05,6.08088250068396e-05,6.11570568314964e-05,6.16488772512025e-05,6.24032554856705e-05,6.89131110729745e-05
"40 to 49",0.000109785625342145,0.000118732418867177,0.000119777954915197,0.000120425599544953,0.000120928757615246,0.000121321620177415,0.0001216600387407,0.000121966670359325,0.000122241058537459,0.000122494364633463,0.000122722542962516,0.000122946961232082,0.000123150315521972,0.000123348175685887,0.000123537636898537,0.00012370411544097,0.000123870026380777,0.000124030369317582,0.000124185292996604,0.000124331136933753,0.000124471640884044,0.000124611567082537,0.000124745229195613,0.000124877641924797,0.000125007250856897,0.000125130216184379,0.000125257409476025,0.000125380965210375,0.000125497736096598,0.000125615336676085,0.000125734169079635,0.000125851229011008,0.00012596351846522,0.000126076629706527,0.000126182278336125,0.000126289757530319,0.000126395805030503,0.000126502845537415,0.00012660983446901,0.000126715358746111,0.000126821465950325,0.000126925987186113,0.000127031700453867,0.000127136615637197,0.000127237397457137,0.000127340898388116,0.000127445655722336,0.000127549220161758,0.00012764481383782,0.000127750272695281,0.000127850401685529,0.000127956134337535,0.000128057788443522,0.000128157573631101,0.000128258457994883,0.000128358105689656,0.000128458507719346,0.000128561042608846,0.000128664983906456,0.000128769154789259,0.000128872257400805,0.000128981385924971,0.00012908517425355,0.000129195218022454,0.000129303257672184,0.000129408756860108,0.000129521321994675,0.000129632431084915,0.000129744692790915,0.000129859723678546,0.000129975690515466,0.000130091877706018,0.000130208227625717,0.000130330962872561,0.000130453092638347,0.00013057664674797,0.000130711231361074,0.000130845125992624,0.000130988115204753,0.000131127117080751,0.000131271490364041,0.000131422650081074,0.000131576004967879,0.000131736695528125,0.000131907844561741,0.000132085728586474,0.000132266472880274,0.000132461202845809,0.000132666031253281,0.000132883813305425,0.000133108558628964,0.000133343314539764,0.000133611671556635,0.000133908290447747,0.000134246898717516,0.000134622815102996,0.000135070652538349,0.000135620125550974,0.000136374925150041,0.000137552986308006,0.000147477985821791
"50 to 59",0.000249940988248699,0.000261759586034987,0.000263401026499476,0.00026448035482111,0.00026527721951894,0.000265911400980824,0.00026647500869836,0.000266938277610957,0.000267366104170019,0.00026777386499579,0.000268140043933383,0.000268476301491819,0.000268792198334589,0.000269097220730206,0.000269371317626491,0.000269646598482035,0.000269901211869032,0.000270152196367166,0.000270397638721117,0.000270626598472039,0.000270848511968811,0.000271064548531769,0.000271276027987766,0.000271486016870473,0.000271687401524286,0.000271887158468932,0.000272072780924917,0.00027226463617232,0.00027244289223485,0.000272622950529106,0.000272801254620265,0.000272975759997656,0.000273149088005887,0.000273324083285605,0.000273500949520224,0.000273662200777431,0.000273830153145141,0.000274002105197287,0.000274169604123644,0.000274338024532237,0.000274503767438097,0.000274665793717171,0.000274827608709839,0.000274983183070935,0.00027514016761816,0.000275301090311064,0.000275464727405653,0.000275625194850138,0.000275789454589752,0.000275942225437193,0.000276100152740575,0.000276264045841102,0.000276427924975006,0.000276590333270111,0.000276744056258415,0.000276902268202268,0.000277062180980459,0.000277217567540662,0.000277372505364102,0.000277536326707682,0.000277698372184108,0.000277857542787943,0.000278024560776015,0.000278191084137898,0.000278358588994963,0.000278532190950101,0.000278701625516737,0.000278877545212438,0.000279058889526792,0.000279232455274032,0.000279410771412735,0.000279595229731494,0.000279773399992689,0.000279965822180159,0.000280155978266593,0.000280355909645202,0.000280557465852848,0.000280766673120543,0.000280972184277742,0.000281186726334121,0.000281406081754149,0.000281647495232233,0.000281880790674828,0.000282136444996248,0.000282403941455277,0.000282678225892474,0.000282963810315557,0.000283264149493008,0.000283573047499902,0.000283902426704974,0.000284261845710121,0.000284656287775469,0.000285055191609891,0.000285520284894038,0.000286042871695566,0.00028663448289949,0.000287301588620002,0.000288133548251065,0.000289295583841394,0.000291037532868466,0.000306420850615094
"60 to 69",0.000404866490652934,0.000422353863180357,0.000424568022951949,0.000426010189338459,0.000427083358013811,0.000427944514324809,0.000428688284936731,0.000429347349689239,0.000429958466004859,0.000430494614035343,0.000430996506919335,0.000431448965120747,0.000431868253728008,0.000432277969862972,0.000432667142251304,0.000433036177765086,0.000433393959063894,0.000433736938215198,0.000434059731905216,0.000434384929671273,0.000434693530040112,0.00043498678297082,0.000435270660035895,0.000435552941070261,0.00043581984046928,0.000436094993788701,0.000436356232957711,0.000436616896512646,0.000436873626930495,0.000437123597313827,0.000437374180398138,0.000437624008841126,0.000437863085264223,0.000438097263726111,0.000438332301637597,0.00043856678327258,0.00043880005712093,0.00043902506253896,0.000439246296299338,0.000439468597060239,0.000439680494779765,0.000439892804326947,0.00044011784858641,0.000440329573171353,0.000440548261158852,0.000440762258919283,0.000440984133723876,0.000441200796454532,0.000441416523176748,0.000441628790510946,0.00044185619449443,0.00044207400858906,0.000442289692377333,0.000442505367662684,0.000442720001102315,0.000442931568839283,0.000443147440113549,0.000443361822933399,0.000443581656153815,0.000443808622417928,0.000444038820288174,0.000444256529963406,0.000444472758922487,0.000444701168658442,0.000444932865576984,0.000445167729106947,0.000445401649620708,0.000445639792460759,0.000445884247183573,0.000446127356473742,0.000446375250170732,0.000446634678285286,0.000446891362654165,0.00044715214294686,0.000447430331868752,0.000447707175393965,0.000447979171777878,0.000448249679434022,0.000448536026946825,0.000448834428745202,0.000449137400413493,0.000449456357138037,0.000449769907235213,0.000450112214815896,0.000450469916875787,0.000450846374438733,0.000451231360674048,0.000451635962668999,0.000452051536681827,0.000452487667134075,0.000452974261550981,0.000453507756009028,0.000454085991231893,0.000454681324985497,0.000455357331274531,0.000456169919832649,0.000457088936036354,0.000458222072310799,0.000459695808384106,0.000462115861454935,0.000483496574075395
"70 to 79",0.000528011906724189,0.000552258969070911,0.000555209636305146,0.000557177186681126,0.000558620318533483,0.000559766142794529,0.000560755816325355,0.000561655312539632,0.000562453595050079,0.000563177440349413,0.000563863620882832,0.000564501800055278,0.000565087552058378,0.000565629426314159,0.000566161075276006,0.000566640207610734,0.000567135916369358,0.00056761460051846,0.000568060047139654,0.00056847226954902,0.00056888377081657,0.000569285339688655,0.000569674828381717,0.000570048366844639,0.000570420408184647,0.000570779549874759,0.000571139023466105,0.000571480290607554,0.000571819585249973,0.000572160666960997,0.000572483994716225,0.000572812639214068,0.000573135058021695,0.000573458438565866,0.000573766032294131,0.000574077915309633,0.00057437785730503,0.000574689430595911,0.000574989652793231,0.000575277518839698,0.000575576627561479,0.000575869100012718,0.000576160972780083,0.000576457261947068,0.00057674672055695,0.000577035980732721,0.000577344380610533,0.000577626370495934,0.000577918350340605,0.000578212658173803,0.000578500339397968,0.000578797733572254,0.000579085849244571,0.000579369345990785,0.000579655794148306,0.000579942692857274,0.000580234128908397,0.000580529671306181,0.000580833160173231,0.000581113583119056,0.000581400289804127,0.000581712115488559,0.000582019908583857,0.000582327135669592,0.000582630949119356,0.000582931495080805,0.000583237272832084,0.000583554308523021,0.000583875154583624,0.0005842098819472,0.000584538597662935,0.000584883252540607,0.000585220972020704,0.000585574691087728,0.000585920870345931,0.000586275348492614,0.00058664345819667,0.000587029464725873,0.000587416344640002,0.000587814538964153,0.000588225522970414,0.000588659770266544,0.00058912253119746,0.000589581407437294,0.00059007088267598,0.000590563180522771,0.000591072683377611,0.000591611119669489,0.000592158435379751,0.000592780445795645,0.000593392283352577,0.000594076464008048,0.000594831251669065,0.000595674130767023,0.000596636572681785,0.000597672686055392,0.000598950476021043,0.000600463255141396,0.000602479688511877,0.000605772632120709,0.000631821575762499
"80 to 100",0.000244290119989847,0.000261674041905566,0.000263759406785931,0.000265114895238514,0.000266130017225882,0.00026692538161399,0.000267641047367277,0.000268235240509404,0.000268787652005212,0.000269291211769313,0.000269730904132158,0.000270138174421457,0.000270526247146106,0.00027090821916653,0.000271268557794607,0.000271596071699045,0.000271914334995818,0.000272236847604658,0.000272555882895699,0.000272842882154135,0.000273120040872101,0.000273400622072423,0.000273670498021958,0.000273920960056655,0.000274175107877354,0.000274428081774136,0.00027466604954573,0.000274895266320284,0.000275124762063688,0.000275352161898367,0.000275580448339559,0.000275814542813888,0.000276036299376807,0.000276248453614906,0.000276461844090063,0.000276681909327445,0.000276892183582581,0.000277095772834605,0.00027731076074542,0.000277515779136389,0.000277726848648163,0.000277936931037761,0.000278138255717654,0.000278344803553129,0.000278547217552227,0.000278742430664722,0.000278943361984327,0.000279154242104143,0.000279351998332019,0.000279557527526236,0.000279756036964896,0.000279962114905816,0.000280166064806247,0.000280367211570748,0.000280570778064016,0.000280765289088357,0.000280960627682978,0.000281164024427769,0.000281371782997357,0.000281578690992007,0.000281778279333217,0.000281994850148444,0.000282200435034481,0.000282410033807795,0.000282624817340188,0.000282838520764737,0.000283055608549975,0.00028326527300877,0.00028348861412653,0.000283718656453291,0.000283940063833524,0.000284178273252725,0.000284413617340362,0.000284651259500224,0.000284898710659738,0.000285147778154453,0.000285411059956268,0.00028567626551442,0.000285934341795358,0.000286208360718838,0.00028649557121945,0.000286775129737398,0.000287079354714535,0.000287392079409571,0.000287715806879919,0.000288050992209356,0.000288405324799059,0.000288783299582142,0.000289205028132185,0.000289624437159893,0.000290083779004103,0.000290539945022006,0.000291075733704755,0.000291660590652309,0.000292287426634819,0.000293021690863301,0.0002938859504131,0.000294985694699157,0.000296368454493247,0.000298599168999334,0.000316127923781127
