"","probability","ages","case","status","value","Gender.1","outc","gend"
"74",0.5,"20 to 29","best","healthy",3.11612428186563e-05,"F","death","b"
"75",0.95,"20 to 29","best","healthy",5.54338414098269e-05,"F","death","b"
"76",0.975,"20 to 29","best","healthy",6.13118615843948e-05,"F","death","b"
"77",0.025,"30 to 39","best","healthy",3.91506229386087e-05,"F","death","b"
"78",0.5,"30 to 39","best","healthy",7.72761533912503e-05,"F","death","b"
"79",0.95,"30 to 39","best","healthy",0.00013484689313204,"F","death","b"
"80",0.975,"30 to 39","best","healthy",0.000148775899638989,"F","death","b"
"81",0.025,"20 to 29","meta","all",0.000127522120627465,"F","death","b"
"82",0.5,"20 to 29","meta","all",0.000172757863814046,"F","death","b"
"83",0.95,"20 to 29","meta","all",0.000222108574378551,"F","death","b"
"84",0.975,"20 to 29","meta","all",0.000235517860100711,"F","death","b"
"85",0.025,"30 to 39","meta","all",0.000374593048866399,"F","death","b"
"86",0.5,"30 to 39","meta","all",0.000505757115897512,"F","death","b"
"87",0.95,"30 to 39","meta","all",0.000649341902510848,"F","death","b"
"88",0.975,"30 to 39","meta","all",0.000686785935534062,"F","death","b"
"89",0.025,"20 to 29","best","all",3.20549970067863e-05,"F","death","b"
"90",0.5,"20 to 29","best","all",5.74011101763491e-05,"F","death","b"
"91",0.95,"20 to 29","best","all",9.33090680616887e-05,"F","death","b"
"92",0.975,"20 to 29","best","all",0.000101474464658699,"F","death","b"
"93",0.025,"30 to 39","best","all",3.20549970067863e-05,"F","death","b"
"94",0.5,"30 to 39","best","all",5.74011101763491e-05,"F","death","b"
"95",0.95,"30 to 39","best","all",9.33090680616887e-05,"F","death","b"
"96",0.975,"30 to 39","best","all",0.000101474464658699,"F","death","b"
"97",0.025,"20 to 29","meta","healthy",3.88762764072319e-05,"M","death","f"
"98",0.5,"20 to 29","meta","healthy",6.34765773073344e-05,"M","death","f"
"99",0.95,"20 to 29","meta","healthy",9.4686059702632e-05,"M","death","f"
"100",0.975,"20 to 29","meta","healthy",0.000102784845282935,"M","death","f"
"101",0.025,"30 to 39","meta","healthy",9.48078848846788e-05,"M","death","f"
"102",0.5,"30 to 39","meta","healthy",0.000154409103712826,"M","death","f"
"103",0.95,"30 to 39","meta","healthy",0.000219419140193617,"M","death","f"
"104",0.975,"30 to 39","meta","healthy",0.000235137320920421,"M","death","f"
"105",0.025,"20 to 29","best","healthy",1.03629825134251e-05,"M","death","f"
"106",0.5,"20 to 29","best","healthy",2.10686176469024e-05,"M","death","f"
"107",0.95,"20 to 29","best","healthy",3.74797120949051e-05,"M","death","f"
"108",0.975,"20 to 29","best","healthy",4.14539361109192e-05,"M","death","f"
"109",0.025,"30 to 39","best","healthy",2.57473406073065e-05,"M","death","f"
"110",0.5,"30 to 39","best","healthy",5.08205308841936e-05,"M","death","f"
"111",0.95,"30 to 39","best","healthy",8.86818299865111e-05,"M","death","f"
"112",0.975,"30 to 39","best","healthy",9.78422174321506e-05,"M","death","f"
"113",0.025,"20 to 29","meta","all",8.62197575577341e-05,"M","death","f"
"114",0.5,"20 to 29","meta","all",0.000116804371358854,"M","death","f"
"115",0.95,"20 to 29","meta","all",0.000150171180813065,"M","death","f"
"116",0.975,"20 to 29","meta","all",0.000159237414642132,"M","death","f"
"117",0.025,"30 to 39","meta","all",0.000246350481661974,"M","death","f"
"118",0.5,"30 to 39","meta","all",0.000332610307325163,"M","death","f"
"119",0.95,"30 to 39","meta","all",0.000427038598102504,"M","death","f"
"120",0.975,"30 to 39","meta","all",0.000451663602753687,"M","death","f"
"121",0.025,"20 to 29","best","all",2.16728992337958e-05,"M","death","f"
"122",0.5,"20 to 29","best","all",3.88098141608513e-05,"M","death","f"
"123",0.95,"20 to 29","best","all",6.30877622378888e-05,"M","death","f"
"124",0.975,"20 to 29","best","all",6.86085182564753e-05,"M","death","f"
"125",0.025,"30 to 39","best","all",2.10809142780206e-05,"M","death","f"
"126",0.5,"30 to 39","best","all",3.7749742507686e-05,"M","death","f"
"127",0.95,"30 to 39","best","all",6.13645499562521e-05,"M","death","f"
"128",0.975,"30 to 39","best","all",6.67345091445551e-05,"M","death","f"
"129",0.025,"20 to 29","meta","healthy",7.61225440482777e-05,"M","death","m"
"130",0.5,"20 to 29","meta","healthy",0.000124291701743652,"M","death","m"
"131",0.95,"20 to 29","meta","healthy",0.000185402111945336,"M","death","m"
"132",0.975,"20 to 29","meta","healthy",0.000201260116338975,"M","death","m"
"133",0.025,"30 to 39","meta","healthy",0.000193516086848057,"M","death","m"
"134",0.5,"30 to 39","meta","healthy",0.000315170468791365,"M","death","m"
"135",0.95,"30 to 39","meta","healthy",0.000447865000273789,"M","death","m"
"136",0.975,"30 to 39","meta","healthy",0.000479947994534462,"M","death","m"
"137",0.025,"20 to 29","best","healthy",2.02914647634049e-05,"M","death","m"
"138",0.5,"20 to 29","best","healthy",4.12538679904102e-05,"M","death","m"
"139",0.95,"20 to 29","best","healthy",7.33879707247487e-05,"M","death","m"
"140",0.975,"20 to 29","best","healthy",8.11697870578705e-05,"M","death","m"
"141",0.025,"30 to 39","best","healthy",5.25539052699109e-05,"M","death","m"
"142",0.5,"30 to 39","best","healthy",0.000103731775898307,"M","death","m"
"143",0.95,"30 to 39","best","healthy",0.00018101195627757,"M","death","m"
"144",0.975,"30 to 39","best","healthy",0.000199709581845828,"M","death","m"
"145",0.025,"20 to 29","meta","all",0.000168824483697197,"M","death","m"
