Country,Cases,Deaths,Recovered,Active,Serious,Cases_mln,Deaths_mln,Tests,Tests_mln,Population
Paraguay,1086,11,511,564,2,152,2,33081,4642,7125773
Latvia,1082,25,760,297,2,573,13,114451,60634,1887558
South Sudan,994,10,6,978,,89,0.9,3356,300,11183630
Niger,963,65,860,38,,40,3,6099,253,24127274
Cyprus,958,17,790,151,4,794,14,123316,102192,1206704
Madagascar,957,7,200,750,9,35,0.3,12608,456,27630820
Sierra Leone,914,47,491,376,,115,6,,,7963749
Burkina Faso,885,53,760,72,,42,3,,,20854250
Andorra,852,51,738,63,7,11028,660,3750,48540,77256
Chad,828,66,633,129,,51,4,,,16385212
Uruguay,828,23,698,107,4,238,7,45777,13181,3472856
Georgia,801,13,644,144,6,201,3,61395,15388,3989702
Mauritania,784,39,65,680,,169,8,7654,1650,4639283
Jordan,765,9,566,190,5,75,0.9,210401,20637,10195440
Diamond Princess,712,13,651,48,4,,,,,
San Marino,678,42,408,228,1,19985,1238,4749,139981,33926
Malta,622,9,576,37,,1409,20,72615,164489,441458
Congo,611,20,179,412,,111,4,,,5506685
Jamaica,591,10,361,220,1,200,3,13616,4600,2960223
Channel Islands,561,46,512,3,,3229,265,10255,59024,173742
French Guiana,556,1,296,259,3,1866,3,,,298026
Uganda,522,,82,440,,11,,96825,2123,45614034
Tanzania,509,,183,305,7,9,0.4,,,59587676
Cabo Verde,502,,239,258,,904,9,1307,2353,555525
Sao Tome and Principe,485,,68,405,,2216,55,175,800,218831
Réunion,479,,411,67,1,535,1,17200,19221,894836
Togo,465,,239,213,,56,2,21812,2640,8262563
Palestine,464,,377,84,,91,0.6,44876,8814,5091549
Yemen,453,,17,333,,15,3,120,4,29771764
Taiwan,443,,428,8,,19,0.3,72683,3052,23813683
Rwanda,410,,280,128,,32,0.2,72510,5610,12925233
Malawi,393,,51,338,1,21,0.2,5049,265,19088114
Mozambique,352,,114,236,,11,0.06,12096,388,31180247
Isle of Man,336,,312,0,,3953,282,5094,59929,85000
Mauritius,335,,322,3,,263,8,124227,97692,1271617
Vietnam,328,,302,26,1,3,,275000,2827,97272479
Montenegro,324,,315,0,,516,14,10167,16188,628060
Liberia,321,,175,118,,64,6,,,5047775
Eswatini,300,,201,96,5,259,3,6551,5651,1159249
Benin,261,,151,107,,22,0.2,35794,2959,12096262
Myanmar,236,,148,82,,4,0.1,31701,583,54382712
Zimbabwe,222,,29,189,,15,0.3,46613,3140,14845953
Martinique,200,,98,88,,533,37,,,375285
Libya,196,,52,139,,29,0.7,7501,1093,6864011
Faeroe Islands,187,,187,0,,3828,,9857,201785,48849
Mongolia,186,,65,121,19,57,,15092,4610,3274105
Gibraltar,173,,153,20,,5135,,8434,250326,33692
Guadeloupe,162,,138,10,1,405,35,4137,10339,400119
Cayman Islands,160,,85,74,,2437,15,13253,201834,65663
Guyana,153,,77,64,3,195,15,1719,2186,786274
Bermuda,141,,113,19,2,2263,144,7679,123270,62294
Brunei,141,,138,1,1,323,5,20205,46219,437162
Comoros,132,,27,103,,152,2,,,868080
Cambodia,125,,123,2,1,7,,21843,1308,16700905
Syria,124,,53,65,,7,0.3,,,17465045
Trinidad and Tobago,117,,108,1,,84,6,3228,2307,1399160
Bahamas,102,,55,36,2,260,28,2121,5398,392959
Aruba,101,,98,0,,946,28,2138,20031,106733
Monaco,99,,90,5,1,2524,102,16200,413044,39221
Barbados,92,,81,4,1,320,24,5747,20000,287350
Angola,86,,18,64,1,3,0.1,10000,305,32776687
Liechtenstein,82,,55,26,,2151,26,900,23610,38120
Suriname,82,,9,72,,140,2,782,1334,586235
Sint Maarten,77,,60,2,1,1797,350,450,10504,42839
Burundi,63,,33,29,,5,0.08,284,24,11860020
French Polynesia,60,,60,0,,214,,4040,14388,280788
Bhutan,47,,9,38,,61,,18238,23656,770958
Macao,45,,45,0,,69,,,,648645
Saint Martin,41,,33,5,1,1062,78,614,15901,38613
Botswana,40,,23,16,,17,0.4,24006,10225,2347757
Eritrea,39,,39,0,,11,,,,3542590
Antigua and Barbuda,26,,20,3,1,266,31,246,2514,97868
Gambia,26,,20,5,,11,0.4,1873,777,2410835
St. Vincent Grenadines,26,,15,11,,234,,595,5365,110914
Namibia,25,,16,9,,10,,4005,1579,2537207
Timor-Leste,24,,24,0,,18,,1568,1191,1316414
Grenada,23,,18,5,2,204,,3516,31258,112485
Curaçao,21,,15,5,,128,6,900,5486,164044
New Caledonia,20,,18,2,,70,,6867,24070,285290
Laos,19,,18,1,,3,,7563,1041,7267282
Belize,18,,16,0,,45,5,1671,4209,397048
Dominica,18,,16,2,,250,,534,7419,71973
Fiji,18,,18,0,,20,,2431,2713,895961
Saint Lucia,18,,18,0,,98,,1113,6063,183566
Saint Kitts and Nevis,15,,15,0,,282,,403,7579,53171
Falkland Islands,13,,13,0,,3745,,535,154134,3471
Greenland,13,,13,0,,229,,2241,39480,56763
Turks and Caicos,12,,11,0,,310,26,153,3956,38676
Vatican City,12,,2,10,,14981,,,,801
Montserrat,11,,10,0,,2204,200,61,12220,4992
Seychelles,11,,11,0,,112,,,,98302
