Denominazione,ageRange,tot2015,tot2016,tot2017,tot2018,tot2019
Cervignano d'Adda,21-40,564,541,513,506,476
Cervignano d'Adda,41-50,398,392,378,394,393
Cervignano d'Adda,51-60,330,342,345,355,367
Cervignano d'Adda,61-70,229,235,257,256,259
Cervignano d'Adda,71-80,153,153,159,172,173
Cervignano d'Adda,81+,72,73,78,79,84
Codogno,0-20,2729,2725,2751,2765,2772
Codogno,21-40,3287,3232,3216,3168,3153
Codogno,41-50,2689,2689,2630,2565,2487
Codogno,51-60,2285,2324,2378,2448,2518
Codogno,61-70,1930,1925,1952,1899,1908
Codogno,71-80,1696,1719,1756,1739,1751
Codogno,81+,1247,1223,1272,1307,1395
Comazzo,0-20,458,438,451,460,474
Comazzo,21-40,610,600,554,569,567
Comazzo,41-50,429,422,423,432,457
Comazzo,51-60,335,327,332,341,345
Comazzo,61-70,210,231,250,265,269
Comazzo,71-80,129,131,150,138,148
Comazzo,81+,72,95,130,96,84
Cornegliano Laudense,0-20,531,526,511,514,501
Cornegliano Laudense,21-40,677,665,651,646,639
Cornegliano Laudense,41-50,584,537,516,500,459
Cornegliano Laudense,51-60,441,466,476,494,524
Cornegliano Laudense,61-70,334,337,338,341,345
Cornegliano Laudense,71-80,246,255,271,281,285
Cornegliano Laudense,81+,132,136,142,143,159
Corno Giovine,0-20,187,184,182,181,176
Corno Giovine,21-40,259,242,231,219,206
Corno Giovine,41-50,195,198,186,190,188
Corno Giovine,51-60,165,170,174,183,184
Corno Giovine,61-70,157,156,156,145,147
Corno Giovine,71-80,118,117,116,125,121
Corno Giovine,81+,104,102,99,100,107
Cornovecchio,0-20,26,21,20,21,24
Cornovecchio,21-40,46,42,43,38,36
Cornovecchio,41-50,30,34,37,36,39
Cornovecchio,51-60,38,33,34,39,36
Cornovecchio,61-70,33,33,30,27,21
Cornovecchio,71-80,29,32,32,31,37
Cornovecchio,81+,16,14,19,21,20
Corte Palasio,0-20,294,287,270,270,260
Corte Palasio,21-40,376,358,334,350,352
Corte Palasio,41-50,240,253,255,235,229
Corte Palasio,51-60,255,249,290,266,254
Corte Palasio,61-70,200,205,207,200,194
Corte Palasio,71-80,110,120,134,138,148
Corte Palasio,81+,74,68,74,78,79
Crespiatica,0-20,397,406,408,416,438
Crespiatica,21-40,599,594,576,589,567
Crespiatica,41-50,373,399,383,364,359
Crespiatica,51-60,329,346,371,394,407
Crespiatica,61-70,220,229,236,228,226
Crespiatica,71-80,167,165,162,163,168
Crespiatica,81+,108,118,122,132,131
Fombio,0-20,420,425,413,419,402
Fombio,21-40,546,540,510,511,528
Fombio,41-50,458,449,453,436,410
Fombio,51-60,343,363,375,379,396
Fombio,61-70,263,254,258,265,270
Fombio,71-80,153,174,176,177,177
Fombio,81+,128,123,129,138,134
Galgagnano,0-20,250,251,240,253,259
Galgagnano,21-40,330,300,291,309,299
Galgagnano,41-50,271,266,271,267,258
Galgagnano,51-60,167,171,167,175,199
Galgagnano,61-70,130,132,130,131,135
Galgagnano,71-80,64,79,78,84,83
Galgagnano,81+,41,42,46,44,48
Graffignana,0-20,424,425,414,419,416
Graffignana,21-40,600,582,546,525,556
Graffignana,41-50,425,436,424,415,398
Graffignana,51-60,386,372,372,381,367
Graffignana,61-70,389,387,379,366,374
Graffignana,71-80,278,288,299,314,304
Graffignana,81+,178,176,182,192,211
Guardamiglio,0-20,469,474,466,462,455
Guardamiglio,21-40,637,630,600,586,609
Guardamiglio,41-50,428,416,402,404,393
Guardamiglio,51-60,395,398,409,398,399
Guardamiglio,61-70,312,307,307,311,315
Guardamiglio,71-80,275,285,279,277,272
Guardamiglio,81+,201,207,217,224,217
Livraga,0-20,411,406,403,411,419
Livraga,21-40,569,545,502,498,483
Livraga,41-50,422,405,407,399,380
Livraga,51-60,394,403,415,408,406
Livraga,61-70,338,334,339,339,350
Livraga,71-80,268,269,271,273,277
Livraga,81+,206,205,204,208,212
Lodi,0-20,7283,7322,7356,7340,7410
Lodi,21-40,9659,9577,9507,9438,9770
Lodi,41-50,7228,7145,7065,6843,6808
Lodi,51-60,6705,6876,7058,7187,7334
Lodi,61-70,5454,5414,5479,5525,5644
Lodi,71-80,4675,4765,4798,4843,4763
Lodi,81+,3744,3830,3933,4062,4129
Lodi Vecchio,0-20,1425,1442,1419,1414,1420
Lodi Vecchio,21-40,1702,1696,1645,1651,1668
Lodi Vecchio,41-50,1289,1241,1207,1180,1128
Lodi Vecchio,51-60,1056,1087,1141,1189,1228
Lodi Vecchio,61-70,852,871,884,884,885
Lodi Vecchio,71-80,733,740,736,745,727
Lodi Vecchio,81+,457,459,494,507,553
Maccastorna,0-20,12,14,14,11,9
Maccastorna,21-40,13,10,12,11,11
Maccastorna,41-50,16,20,22,23,19
Maccastorna,51-60,7,6,6,5,10
Maccastorna,61-70,9,9,10,8,6
Maccastorna,71-80,7,8,7,7,7
Maccastorna,81+,1,2,2,3,4
Mairago,0-20,288,290,287,288,289
Mairago,21-40,303,281,262,248,248
Mairago,41-50,249,254,252,252,255
Mairago,51-60,217,218,219,220,211
Mairago,61-70,163,164,170,172,183
Mairago,71-80,107,110,109,113,107
Mairago,81+,81,85,93,91,92
Maleo,0-20,484,475,456,468,473
Maleo,21-40,648,647,620,600,586
Maleo,41-50,493,485,476,472,445
Maleo,51-60,492,486,494,519,514
Maleo,61-70,412,430,424,414,419
Maleo,71-80,339,320,332,337,334
Maleo,81+,309,311,306,323,326
Marudo,0-20,336,337,362,361,359
Marudo,21-40,424,409,415,398,391
Marudo,41-50,281,274,271,293,291
Marudo,51-60,235,244,252,243,242
Marudo,61-70,178,181,181,190,190
Marudo,71-80,126,128,137,147,150
Marudo,81+,79,82,89,88,95
Massalengo,0-20,865,860,861,867,861
Massalengo,21-40,1246,1204,1165,1133,1071
Massalengo,41-50,817,814,844,822,830
Massalengo,51-60,639,661,677,691,705
Massalengo,61-70,498,511,507,523,525
Massalengo,71-80,295,299,324,325,352
Massalengo,81+,178,189,200,209,206
Meleti,0-20,63,62,58,61,67
Meleti,21-40,83,80,80,75,74
Meleti,41-50,78,68,60,56,48
Meleti,51-60,52,54,65,72,80
Meleti,61-70,62,64,56,55,58
Meleti,71-80,55,63,58,57,53
Meleti,81+,74,71,70,66,72
Merlino,0-20,370,359,348,337,323
Merlino,21-40,492,469,441,440,423
Merlino,41-50,330,323,324,316,311
Merlino,51-60,273,283,278,281,288
Merlino,61-70,196,202,199,209,215
Merlino,71-80,86,96,110,116,126
Merlino,81+,49,45,46,47,43
Montanaso Lombardo,0-20,400,396,410,399,400
Montanaso Lombardo,21-40,528,487,451,442,419
Montanaso Lombardo,41-50,416,431,420,398,398
Montanaso Lombardo,51-60,341,352,364,371,375
Montanaso Lombardo,61-70,297,284,292,281,279
Montanaso Lombardo,71-80,207,223,214,242,245
Montanaso Lombardo,81+,106,116,131,138,148
Mulazzano,0-20,1162,1159,1130,1115,1108
Mulazzano,21-40,1223,1223,1235,1226,1224
Mulazzano,41-50,1105,1042,974,963,931
Mulazzano,51-60,913,976,1013,1034,1050
Mulazzano,61-70,645,639,636,650,665
Mulazzano,71-80,448,450,461,459,489
Mulazzano,81+,265,269,287,326,331
Orio Litta,0-20,322,330,337,332,329
Orio Litta,21-40,495,481,464,461,449
Orio Litta,41-50,280,287,294,277,267
Orio Litta,51-60,332,334,341,338,326
Orio Litta,61-70,257,257,269,254,264
Orio Litta,71-80,215,214,210,221,219
Orio Litta,81+,149,159,164,172,172
Ospedaletto Lodigiano,0-20,392,387,370,339,330
Ospedaletto Lodigiano,21-40,430,433,476,485,391
Ospedaletto Lodigiano,41-50,350,357,394,361,283
Ospedaletto Lodigiano,51-60,229,250,273,276,228
