"","hypermean","hypersd","beta","theta_min","rr_healthy_25","rr_healthy_35","rr_healthy_30","metaanalysis_ifr_25","metaanalysis_ifr_30","metaanalysis_ifr_35","replications_25","replications_35","ifr_min_25","ifr_min_30","ifr_min_35","min_healthy_ifr_25","min_healthy_ifr_30","min_healthy_ifr_35","metaanalysis_healthy_ifr_25","metaanalysis_healthy_ifr_35"
"1",-8.57989034210432,0.628919146059283,1.10485864108662,-9.92391872349735,1.96101391313089,2.94971119234823,2.45536255273956,0.000187810295694466,0.000326269332580584,0.000566746407094313,0.000184840959367943,0.000540745478098933,4.89864067745488e-05,8.51092769614838e-05,0.000147865429380193,2.49801423878419e-05,3.46626109722669e-05,5.01287820189877e-05,9.57720363108562e-05,0.000192136236443925
"2",-8.73081977526169,0.783195625938596,1.1125358932422,-9.81332135261919,1.93288598025463,1.87029683231194,1.90159140628329,0.000161503895927768,0.000281653343477907,0.000491143041501001,0.000103693888511402,0.000654868299898874,5.47148136500068e-05,9.54270155657943e-05,0.000166427313313032,2.83073156973278e-05,5.01827128848405e-05,8.89844384259074e-05,8.35558318377849e-05,0.000262601653927778
"3",-8.89634822639301,0.59575629583261,1.10374118885531,-9.76909633991373,1.70202921025444,2.07818420600329,1.89010670812887,0.000136869162743847,0.000237649107765689,0.000412605045963227,0.000132046883943386,0.000237495489814794,5.71887401037589e-05,9.93039653794743e-05,0.000172428552710315,3.36003282195195e-05,5.25388143179394e-05,8.29707743000918e-05,8.0415284249667e-05,0.000198541132576855
"4",-8.80100868503831,0.62843558447054,1.10792756492854,-9.88726244272497,2.10696685836422,2.56260905640336,2.33478795738379,0.000150558438296727,0.000261963101001566,0.000455763288549131,5.46086886939532e-05,0.000281280050943795,5.08152902595734e-05,8.84222355653071e-05,0.000153856724905507,2.41177454015697e-05,3.7871634246558e-05,6.00390935640593e-05,7.14574307132747e-05,0.000177851275211209
"5",-8.81954830601689,0.682852473888103,1.11862468355332,-9.90099004655985,1.89001137830659,2.37629558644802,2.1331534823773,0.000147793266273737,0.000258531108531773,0.000452204553147117,3.65998774326552e-05,0.000206176528699735,5.01225189742809e-05,8.76845017501302e-05,0.000153391241572908,2.65196916534913e-05,4.11055756065005e-05,6.45505729370103e-05,7.81970246158817e-05,0.000190298107578044
"6",-8.69006084206158,0.624633250021042,1.11887323357598,-9.91810017976028,1.71899201038151,2.15472600547917,1.93685900793034,0.000168221486016888,0.000294297744608975,0.000514815200205932,0.00025278740424239,0.000168113442161538,4.92722530789984e-05,8.62078105734218e-05,0.000150826892742686,2.86634567126714e-05,4.4509078988429e-05,6.99981771970795e-05,9.78605397820046e-05,0.00023892374199635
"7",-8.94177079068636,0.718832811130796,1.1178010394671,-9.79326301511981,1.52727763023954,1.771879615051,1.64957862264527,0.000130792090450589,0.000228700105138385,0.00039987054460205,9.22813182102526e-05,0.000323088490272493,5.58233208226106e-05,9.76168811370016e-05,0.000170694920559187,3.65508665335818e-05,5.91768587425452e-05,9.63355067179741e-05,8.56374033515277e-05,0.000225675910036665
"8",-8.54246877412455,0.646034888369143,1.10791806758925,-9.80880485067191,2.00977729583777,2.5254707379196,2.26762401687869,0.000194970213305658,0.000339224298400096,0.000590145744800467,0.000440454733140508,0.000510150748149952,5.4962478498479e-05,9.56378917380934e-05,0.00016641045394125,2.7347546721871e-05,4.21753743240628e-05,6.58928458138991e-05,9.70108547396964e-05,0.000233677522348412
"9",-8.59561436639823,0.599117326479736,1.11702469632957,-9.92719414581832,2.04771475008274,1.92067233112762,1.98419354060518,0.000184880800108247,0.000323139897165244,0.00056473466067447,9.02091680250862e-05,0.000234454366428443,4.88262259117938e-05,8.53485455530005e-05,0.000149185710885048,2.38442517004973e-05,4.3014224069578e-05,7.76736918980149e-05,9.02864034655102e-05,0.000294029674672784
"10",-8.67512076099064,0.695584422946967,1.11854440029902,-9.89554037554355,2.38614610950505,1.82951786036722,2.10783198493614,0.000170753164159762,0.000298677165294569,0.000522388556567506,0.000156242877980125,0.000663484878923753,5.03964020558694e-05,8.81600769815499e-05,0.000154216946393401,2.11204175029847e-05,4.18250019980701e-05,8.42937638020361e-05,7.15602298952182e-05,0.000285533455498845
"11",-8.67298682071109,0.645840169394217,1.10103909313564,-9.989302152922,1.598968920447,2.05832093831189,1.82864492937945,0.000171117867852753,0.00029670741909963,0.000514424229260509,9.92334638662586e-05,0.000261169411853418,4.58861127984212e-05,7.95708943845847e-05,0.000137980105062809,2.8697313757414e-05,4.35135838052427e-05,6.70352725343074e-05,0.000107017632215713,0.00024992420748652
"12",-8.93498023133881,0.54029803457543,1.12176428107533,-9.97829925848197,0.964757428830235,2.2996048020405,1.63218111543537,0.000131683146910284,0.00023071466391969,0.00040419212985548,0.000219633571257647,0.000298373565578871,4.63937570873544e-05,8.12891171824007e-05,0.000142427506351838,4.80885201823287e-05,4.98039809514141e-05,6.19356448662217e-05,0.000136493529850243,0.000175765909645357
"13",-8.90031965514273,0.66017922160443,1.11478233487185,-9.97176258414897,1.98422550187569,2.14652315329069,2.06537432758319,0.000136326748511242,0.000238017458130012,0.000415531166109777,0.000287015544410594,0.000514399189643852,4.66979970824271e-05,8.15370567428027e-05,0.000142364110533496,2.3534621966245e-05,3.94781012109383e-05,6.63231190007185e-05,6.8705269830658e-05,0.000193583360828302
"14",-8.61265305265252,0.602352378348945,1.12101702371389,-9.95538118774564,1.64423744011083,2.03429690448137,1.8392671722961,0.000181757927099346,0.000318316970692128,0.000557418862567695,7.89006381525487e-05,0.000338805256527342,4.74692389333468e-05,8.31423946660141e-05,0.000145620039946832,2.88700632739193e-05,4.52040877575284e-05,7.15824910444704e-05,0.000110542384369434,0.000274010574041455
"15",-9.02598957100306,0.568420863126081,1.12739710092287,-9.8771971401391,2.24548254521859,2.73070468027936,2.48809361274897,0.000120229299715979,0.000211242818900448,0.000371127953410295,6.82122634777111e-05,0.000260279060018715,5.13293178605393e-05,9.01902902094646e-05,0.000158467898279839,2.28589253431683e-05,3.62487527588714e-05,5.80318697310128e-05,5.35427451760819e-05,0.000135909223758436
"16",-8.70805468507921,0.689974214405721,1.11938418954255,-9.85696942799234,2.00708573637958,2.34320230874249,2.17514402256104,0.000165222101281116,0.000289124907593492,0.000505897478419575,0.000303382795003994,0.000644445951382906,5.23781097138107e-05,9.16650851056405e-05,0.00016041510976678,2.6096598049813e-05,4.21420761820236e-05,6.84597779578274e-05,8.23194038432793e-05,0.000215900042660452
