"","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","69%","70%","71%","72%","73%","74%","75%","76%","77%","78%","79%","80%","81%","82%","83%","84%","85%","86%","87%","88%","89%","90%","91%","92%","93%","94%","95%","96%","97%","98%","99%","100%"
"0 to 19",2.27463176505744e-08,1.00005772912937e-07,1.16662334906082e-07,1.28264080839006e-07,1.37346302540718e-07,1.45181517490073e-07,1.52007214754317e-07,1.58334099930884e-07,1.63759197228491e-07,1.6900645854421e-07,1.73973337704679e-07,1.78660020533008e-07,1.831515424455e-07,1.87434163826753e-07,1.91502107579197e-07,1.95402562795077e-07,1.99375518522794e-07,2.03201761615269e-07,2.06974734137988e-07,2.10640889438174e-07,2.14167222842574e-07,2.17639166864845e-07,2.21048161865509e-07,2.24526987841839e-07,2.27882075100422e-07,2.31189985889271e-07,2.34490983040588e-07,2.37646309808461e-07,2.40789367785577e-07,2.43910670175962e-07,2.46930374410373e-07,2.50063065203391e-07,2.53116758211482e-07,2.5630504403056e-07,2.59337762401288e-07,2.62453321946494e-07,2.65494362401022e-07,2.68485089320388e-07,2.71596664141735e-07,2.74622623838196e-07,2.77618062991402e-07,2.80664200832371e-07,2.83750067793416e-07,2.86858558590443e-07,2.90010760040294e-07,2.93079192708932e-07,2.96253310840798e-07,2.99407741716848e-07,3.02560959750239e-07,3.05756137040426e-07,3.08918703245992e-07,3.12044615243733e-07,3.15179318442595e-07,3.1843343960648e-07,3.21627595846287e-07,3.24759403048052e-07,3.28015379813607e-07,3.31433742437918e-07,3.34882671473123e-07,3.38399929052034e-07,3.41895826447213e-07,3.45462275479709e-07,3.48819433538899e-07,3.52340562646791e-07,3.56151025954788e-07,3.60092440778974e-07,3.6386305865084e-07,3.67734035593593e-07,3.71707690228092e-07,3.75802003592226e-07,3.79940625844015e-07,3.84111445672584e-07,3.88421066061407e-07,3.93021783508954e-07,3.97729777561169e-07,4.02275661595207e-07,4.07061120972242e-07,4.12074488258585e-07,4.17414206477866e-07,4.22744059383117e-07,4.28237841498854e-07,4.34020827799272e-07,4.40051376747226e-07,4.46401273966372e-07,4.52949204549211e-07,4.60102218347907e-07,4.67506973808078e-07,4.75105724792614e-07,4.83421563006085e-07,4.92341975396859e-07,5.0190336649048e-07,5.12150089432168e-07,5.23331869222589e-07,5.35902108719882e-07,5.50934642410773e-07,5.67502631726893e-07,5.87036248364039e-07,6.12509924489587e-07,6.47473520975396e-07,7.05894312687636e-07,1.19183989307105e-06
"20 to 29",6.61542554650986e-07,1.34313253116671e-06,1.44317144180336e-06,1.50722221769905e-06,1.55817221320995e-06,1.59958920292414e-06,1.63633306307044e-06,1.66677580742862e-06,1.69500886494325e-06,1.72171005471298e-06,1.74596076879369e-06,1.76903980567103e-06,1.79155878033605e-06,1.81233784429141e-06,1.83228950316495e-06,1.85174910633824e-06,1.8700728100487e-06,1.88776199910513e-06,1.90535436746387e-06,1.92188197491166e-06,1.9380390696902e-06,1.9542368362195e-06,1.96974586014967e-06,1.98458444228798e-06,1.99915251894634e-06,2.01369361755237e-06,2.0286006757563e-06,2.04305810516435e-06,2.05694688469126e-06,2.07029490026367e-06,2.08409702905531e-06,2.09797350660922e-06,2.11100523621116e-06,2.12411781961098e-06,2.13793036021998e-06,2.15103184241909e-06,2.16431050740974e-06,2.17763713274805e-06,2.19059791774468e-06,2.20313380433899e-06,2.21633010935913e-06,2.2292189295933e-06,2.24209528220955e-06,2.25493057231973e-06,2.26801376599242e-06,2.28053640128355e-06,2.29344614160217e-06,2.30635718483215e-06,2.31920664752435e-06,2.33186102994406e-06,2.34429826294613e-06,2.35767930802471e-06,2.37081347031212e-06,2.38407997634147e-06,2.39685000492659e-06,2.41058942968255e-06,2.42369762684337e-06,2.43675676442499e-06,2.45037981919158e-06,2.46381997508423e-06,2.47736825141789e-06,2.49121492883503e-06,2.50496276737307e-06,2.51905788788348e-06,2.53347206310982e-06,2.54883309022646e-06,2.56397032536467e-06,2.57888601070425e-06,2.59436170972847e-06,2.60970331682261e-06,2.62568273666653e-06,2.64203472887493e-06,2.65855698762763e-06,2.67509200158668e-06,2.69200706028381e-06,2.70915410367076e-06,2.7268638246836e-06,2.745866522555e-06,2.76466434511497e-06,2.7846612296895e-06,2.80509269616363e-06,2.82636171921823e-06,2.84870905059132e-06,2.87211351707944e-06,2.8961065616889e-06,2.92112373268772e-06,2.94683562432055e-06,2.97429222830501e-06,3.00489972820926e-06,3.03682573230226e-06,3.07052348860195e-06,3.10655694365602e-06,3.14623161712505e-06,3.19323637005125e-06,3.24245614551915e-06,3.29932317378969e-06,3.37035976061275e-06,3.45583852583448e-06,3.57490589484127e-06,3.76113037112542e-06,5.69483938985057e-06
"30 to 39",4.09270194940541e-06,5.27925736890687e-06,5.46805086069404e-06,5.59136956245358e-06,5.688767462954e-06,5.76844008511077e-06,5.83502140193874e-06,5.89214727650621e-06,5.94690643420289e-06,5.99627358686025e-06,6.04061050096735e-06,6.08256317263787e-06,6.12238734519578e-06,6.15904549694356e-06,6.1934541869374e-06,6.22745008762591e-06,6.25997869615522e-06,6.29173238806429e-06,6.32233835431683e-06,6.35166330773064e-06,6.38027478344589e-06,6.40747858448225e-06,6.43478095706098e-06,6.46036195654119e-06,6.48634642759213e-06,6.51089277805773e-06,6.53610472068962e-06,6.56027444432427e-06,6.58361505684129e-06,6.60618657718867e-06,6.62864446546052e-06,6.65077774100725e-06,6.67438401359448e-06,6.6964786234069e-06,6.7188721775234e-06,6.74105990819221e-06,6.76129398497163e-06,6.78307293370762e-06,6.80411957679456e-06,6.82572267857678e-06,6.84743640547101e-06,6.8688217279261e-06,6.89003173479416e-06,6.91048653437702e-06,6.93110467688117e-06,6.95173395911182e-06,6.97379126591445e-06,6.99492541111099e-06,7.01630180745033e-06,7.03783555223754e-06,7.05939248664962e-06,7.08119324105266e-06,7.10140542874091e-06,7.1223721036522e-06,7.14399585360916e-06,7.16509160075264e-06,7.18682003540331e-06,7.20809683061214e-06,7.23097253976628e-06,7.25391757872104e-06,7.27578669555697e-06,7.29780589332195e-06,7.31985726495016e-06,7.3421682327672e-06,7.36511180468327e-06,7.38831269625974e-06,7.41235571855953e-06,7.43702626784801e-06,7.46120867064602e-06,7.48663236035889e-06,7.51279750243491e-06,7.53813510397921e-06,7.56310972505061e-06,7.58900145398015e-06,7.61510103225863e-06,7.64214066695218e-06,7.67037822581948e-06,7.69947156123638e-06,7.72977951974011e-06,7.76090217999301e-06,7.79308398895924e-06,7.82581824172185e-06,7.85882147751775e-06,7.8935469213058e-06,7.93065695819277e-06,7.96849019374823e-06,8.0090716224878e-06,8.05127124214805e-06,8.09404361886623e-06,8.14033394011464e-06,8.19182326760501e-06,8.24610162923331e-06,8.30652371908219e-06,8.37265356256951e-06,8.44598526322876e-06,8.53073787712111e-06,8.63244534203503e-06,8.76001068937762e-06,8.92675684963844e-06,9.21582959669357e-06,1.1379740324403e-05
"40 to 49",1.42936469578833e-05,1.6925587986256e-05,1.72833494336002e-05,1.75104470354341e-05,1.76778076884154e-05,1.78173511287981e-05,1.79383615910551e-05,1.80380955339425e-05,1.81291216100444e-05,1.82175178349021e-05,1.82992904707432e-05,1.83739585532889e-05,1.84455417096756e-05,1.85124102306996e-05,1.85781063546587e-05,1.86366799423089e-05,1.86922102253181e-05,1.8745419586339e-05,1.8798900065313e-05,1.88493142468587e-05,1.88993139844305e-05,1.89486425008428e-05,1.89931337531947e-05,1.90385406125711e-05,1.90835564846437e-05,1.91281642729069e-05,1.91714196614148e-05,1.92135844459776e-05,1.92537774370709e-05,1.92942731666689e-05,1.93343248202737e-05,1.93735467173063e-05,1.94123697686884e-05,1.94505752346039e-05,1.94893533473378e-05,1.95259816273463e-05,1.95630483436835e-05,1.95994567229551e-05,1.96367947123061e-05,1.96745941544303e-05,1.97112112374213e-05,1.97472771332911e-05,1.97832536383674e-05,1.98189481617854e-05,1.98532569137073e-05,1.98895041801109e-05,1.99265638369831e-05,1.99624981356122e-05,1.99971501372394e-05,2.00325656603903e-05,2.00663005123591e-05,2.01018540377636e-05,2.01372939821206e-05,2.0173346897878e-05,2.02077489550899e-05,2.0243095866226e-05,2.02797691740502e-05,2.03159769746831e-05,2.03534143773033e-05,2.0390927855184e-05,2.0427237195244e-05,2.04624611675795e-05,2.05011799920805e-05,2.05394983181689e-05,2.0577149237299e-05,2.0615910785484e-05,2.06530154600123e-05,2.06940077140872e-05,2.07341977805152e-05,2.07746751758784e-05,2.08172342028677e-05,2.08612736037723e-05,2.09047692928164e-05,2.09476552365812e-05,2.09933930766929e-05,2.1039405956486e-05,2.1086990016606e-05,2.11361234541882e-05,2.11849353575086e-05,2.12357619683009e-05,2.12882585377065e-05,2.13412664300851e-05,2.13972296957025e-05,2.14560153536918e-05,2.1515698050893e-05,2.15794472798835e-05,2.16443962943129e-05,2.17156989588921e-05,2.17877771054361e-05,2.18666385143735e-05,2.19493413889301e-05,2.20407824976443e-05,2.21413028869533e-05,2.22492588510893e-05,2.2368624088696e-05,2.25039510852106e-05,2.2667877516489e-05,2.28653225536246e-05,2.31432519470456e-05,2.35741797866489e-05,2.68567806429184e-05
"50 to 59",5.7435410374113e-05,6.26879270010695e-05,6.34137004111562e-05,6.38709181582524e-05,6.42122924988873e-05,6.44986672890976e-05,6.47281830638309e-05,6.4927292646483e-05,6.5111823290286e-05,6.52811852269763e-05,6.54387311350658e-05,6.55814277087166e-05,6.57188019890146e-05,6.584557854148e-05,6.59691996855834e-05,6.60840474908839e-05,6.61980353590986e-05,6.63028456888359e-05,6.64038040650018e-05,6.65016601323511e-05,6.65982109532578e-05,6.66890407435827e-05,6.67807748728489e-05,6.68677543042221e-05,6.69543957513496e-05,6.70368271678147e-05,6.71206039745744e-05,6.7203081625132e-05,6.72800942982404e-05,6.73606421461493e-05,6.74410445087011e-05,6.75160621538725e-05,6.75933099176105e-05,6.76681883939692e-05,6.7743923174076e-05,6.78163884022465e-05,6.78899947782214e-05,6.79600109143163e-05,6.80324866252244e-05,6.81027073936136e-05,6.81726131498543e-05,6.82453035202132e-05,6.83136389974701e-05,6.83820431855659e-05,6.84529857521792e-05,6.85230045570129e-05,6.8591982124058e-05,6.86611553856405e-05,6.87288140999409e-05,6.87965575286722e-05,6.88655558200561e-05,6.89333801642911e-05,6.90011279389813e-05,6.90683438828907e-05,6.91378608152195e-05,6.92047555809536e-05,6.92750585879262e-05,6.93433882097759e-05,6.94133201948516e-05,6.94811815660806e-05,6.95553360462228e-05,6.96273054614932e-05,6.96998267414832e-05,6.9770094638063e-05,6.98454415082165e-05,6.99177772776246e-05,6.99916275995649e-05,7.00665842349537e-05,7.01437917321527e-05,7.02239425599742e-05,7.03041233677433e-05,7.03845614727355e-05,7.04652257573466e-05,7.05499797716586e-05,7.06338061696898e-05,7.07214740698879e-05,7.08082820404409e-05,7.09020742115545e-05,7.09929984026478e-05,7.1091718541549e-05,7.11874466232124e-05,7.12907835058935e-05,7.14007785552649e-05,7.15101393924516e-05,7.16261723638175e-05,7.17446553858646e-05,7.18676616473356e-05,7.19924160291208e-05,7.21317163486685e-05,7.2279717419041e-05,7.24317909059801e-05,7.25991714457877e-05,7.27857441966214e-05,7.29801342750596e-05,7.32047413466302e-05,7.34535965700434e-05,7.3757413071124e-05,7.4126193831303e-05,7.46156885352621e-05,7.53855860776886e-05,8.26130752992734e-05
"60 to 69",0.000168760651178779,0.000180656231585481,0.000181964093579048,0.00018283789285441,0.000183464938496629,0.000183978556251711,0.0001844238920137,0.000184826149105261,0.000185169319114798,0.000185487585634241,0.00018577430859973,0.000186045368615513,0.000186305321500124,0.000186543549621052,0.000186776753994646,0.000186999031359451,0.000187204033709109,0.000187407495324332,0.000187607030639103,0.000187794331397844,0.000187981262566272,0.000188157212143158,0.000188323069070443,0.000188489591259561,0.000188654726328653,0.000188816438815209,0.000188972661973266,0.000189128811567464,0.000189279094703084,0.000189432512528929,0.000189576581856041,0.000189725192964947,0.0001898697616975,0.000190006479413968,0.000190145790047208,0.000190282752379891,0.00019041705955709,0.000190552138238993,0.000190686252932206,0.000190820990973725,0.000190957602826489,0.00019108557794865,0.000191213695000545,0.000191351430141254,0.000191483155033201,0.000191607598372319,0.000191738478915213,0.00019186112134002,0.00019198606229111,0.000192116177255361,0.000192243858886231,0.000192373204717212,0.000192501960631392,0.000192628002855304,0.000192759714830095,0.000192891964529143,0.000193026906182531,0.000193156627133822,0.000193285037085705,0.000193415304283822,0.000193553831304592,0.000193685227942156,0.000193825074174731,0.000193958565544855,0.000194096914341582,0.000194235676986888,0.000194378508016925,0.000194515863413976,0.000194658200915839,0.000194803480661444,0.000194947717497185,0.000195102640694349,0.000195253427778142,0.000195405039541582,0.000195562040160334,0.000195723304521887,0.000195888914638205,0.000196057735711996,0.000196233215646046,0.000196402350699555,0.000196589056848524,0.000196775199135195,0.000196966963416956,0.000197176689061252,0.000197395949977667,0.000197616476691775,0.000197846774053622,0.000198089875987351,0.000198343619389785,0.000198617652879083,0.000198909467458939,0.000199207403152966,0.000199558009692845,0.000199935659099952,0.000200352975706368,0.000200845837146961,0.000201403363385828,0.000202098281827403,0.000203033296118224,0.000204491309395009,0.000221304255907353
"70 to 79",0.000468689970614899,0.000491936252297548,0.000494801152414871,0.000496626666270223,0.000498038071801537,0.000499147611690813,0.000500120956456699,0.000500958905695568,0.000501702151673244,0.000502386481558464,0.000503029925136378,0.000503614006217653,0.000504170401766559,0.000504682246489214,0.000505157737745112,0.000505629726070909,0.000506098515791541,0.000506512441722028,0.000506939504829745,0.000507358361288064,0.000507754905069617,0.000508132694785811,0.000508502476741969,0.000508872394156296,0.000509215129213644,0.000509568923610974,0.000509899103689635,0.000510227435335409,0.000510561634538044,0.000510880630995991,0.000511193450016746,0.000511512312025603,0.000511814177023264,0.000512109759577796,0.000512403221142945,0.000512699523115072,0.0005129731260687,0.000513267858999169,0.000513561365589606,0.000513843569482834,0.000514115610681309,0.00051439580254387,0.000514673000786882,0.000514947625767432,0.000515219355698361,0.000515485460525479,0.000515767033247598,0.000516048063962235,0.000516315499920568,0.000516587169187243,0.000516856089739129,0.000517127813378753,0.000517399701013498,0.000517668774998407,0.000517937428342172,0.000518214206023949,0.000518492624890791,0.000518777231416931,0.000519045092908894,0.000519332678281703,0.000519615643518305,0.000519911835498313,0.00052020463116282,0.000520493509111458,0.000520791842424027,0.000521084896246194,0.000521387080938628,0.000521692616392405,0.000521994224643297,0.000522301997943015,0.000522623887179033,0.000522930518270974,0.000523259733228351,0.000523596037595693,0.000523921202556585,0.000524248276141494,0.000524595747979654,0.000524960576059507,0.000525326182503627,0.000525694543838109,0.000526081093166434,0.000526485855611118,0.000526896238674501,0.000527311389821205,0.000527755855527752,0.000528236314456393,0.000528733651553675,0.000529271313935862,0.000529824554663653,0.000530391032744067,0.000531025322218108,0.000531691789162683,0.000532397884060561,0.000533218517146011,0.000534129839586873,0.00053512943458392,0.000536306694202415,0.000537758035314127,0.000539725846036501,0.000542830439052421,0.00057116359511582
"80 to 100",0.00156669291278082,0.00161318524714259,0.00162019196438016,0.00162452348106444,0.00162788557422381,0.00163062053071636,0.00163297802881238,0.00163501458063337,0.00163681175577663,0.00163842853395299,0.00163993489026853,0.00164139189736384,0.0016426926966666,0.00164394642981296,0.00164510340261568,0.00164620093292754,0.00164726196305595,0.00164831309735299,0.00164927862704413,0.0016502639540257,0.00165120565196692,0.00165209554496056,0.00165298957718982,0.00165383777598734,0.00165468259743963,0.00165548952206114,0.00165631069896232,0.00165705820484304,0.0016578246971586,0.00165858994784423,0.00165931985801536,0.00166004280748263,0.00166077372863931,0.0016614741894751,0.00166219827723457,0.00166291240718762,0.00166361151122713,0.00166429198537869,0.00166498446937505,0.00166565235280139,0.00166630740971779,0.00166697831997272,0.0016676420636808,0.00166832014519546,0.00166900869774103,0.00166966052901336,0.00167031602963356,0.00167094139498959,0.00167157411253933,0.00167221945829594,0.00167285848863997,0.00167350063390951,0.00167415824835685,0.00167482355577215,0.00167548411641948,0.00167613258368962,0.00167678071866193,0.0016774456754183,0.00167812706157255,0.00167878523439973,0.001679444700628,0.00168013405186841,0.00168081790655764,0.00168150359268469,0.0016822057881908,0.00168292430918301,0.00168364062724481,0.00168437268391022,0.00168506983726627,0.0016858312851358,0.00168657454894677,0.0016873167168085,0.00168809720222887,0.00168887480335914,0.00168968504165729,0.00169050784483342,0.00169133111381829,0.00169215078039141,0.00169298642402234,0.00169389066568839,0.00169484399220769,0.00169577950142173,0.00169678806744455,0.00169779689431226,0.00169887229728236,0.0016999800376507,0.00170112416120077,0.00170233268927408,0.0017035881796223,0.00170495205350966,0.00170638932013998,0.00170794189676206,0.00170960822009494,0.00171143986102739,0.0017135314161148,0.00171585645164662,0.00171866732934682,0.00172212857524321,0.00172688999328486,0.00173424575714686,0.00179092125420513
