"","age_groups","mode","mean","median","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","69%","70%","71%","72%","73%","74%","75%","76%","77%","78%","79%","80%","81%","82%","83%","84%","85%","86%","87%","88%","89%","90%","91%","92%","93%","94%","95%","96%","97%","98%","99%","100%"
"1","0-9",1.0535452461133e-05,7.53075777768974e-05,4.87104663608841e-05,6.53673411962163e-10,7.00695092577434e-07,1.4008580874893e-06,2.09262120300768e-06,2.76443023621543e-06,3.4521540744961e-06,4.14858511691402e-06,4.89418636764209e-06,5.67174877355931e-06,6.41899585611665e-06,7.22880297733763e-06,8.05111266605829e-06,8.83439996496017e-06,9.61354738589763e-06,1.03906334568486e-05,1.12452203435201e-05,1.20123292845345e-05,1.28150925036852e-05,1.36663938926292e-05,1.44966600854472e-05,1.53286141717468e-05,1.62447052500415e-05,1.71153002486819e-05,1.79741959199318e-05,1.88827590811707e-05,1.97873786820119e-05,2.07161671587558e-05,2.17045820974474e-05,2.27003566157228e-05,2.36287213074277e-05,2.45462474897032e-05,2.55062430333218e-05,2.65350772594964e-05,2.75777960855169e-05,2.8566830761135e-05,2.96663088424431e-05,3.08302663907233e-05,3.19118920152105e-05,3.30006150613114e-05,3.41820452032078e-05,3.53897390383101e-05,3.66044081623197e-05,3.79095408403107e-05,3.91927355187658e-05,4.03944459839195e-05,4.16456339798583e-05,4.29665567948954e-05,4.42547555302998e-05,4.58042515559867e-05,4.72269778127288e-05,4.87104663608841e-05,5.02044419880856e-05,5.1751251465415e-05,5.34041602099561e-05,5.50567632967805e-05,5.6630537988605e-05,5.84793030806308e-05,6.01917372796317e-05,6.18837836600437e-05,6.36392801358698e-05,6.54325296704734e-05,6.73534127120385e-05,6.93896415336477e-05,7.12349363746569e-05,7.33052631599054e-05,7.5521838516829e-05,7.76374047436589e-05,7.99132908180525e-05,8.22923043725478e-05,8.47113807564562e-05,8.72148834513706e-05,8.99540788900444e-05,9.28738674700849e-05,9.57264738689584e-05,9.87696042029823e-05,0.000101843369398545,0.00010542826326332,0.000108705019706513,0.000112073352457739,0.000115966364336863,0.000119927365440166,0.000123860137552413,0.000128082150818529,0.000132844568799552,0.000137931939571024,0.000143632292201634,0.000149662048429121,0.000155569106688165,0.000161777093686463,0.000169068212008894,0.000177151199319909,0.000186085542055714,0.00019649333910864,0.000207469485754252,0.000221373002698279,0.000239665281818355,0.000260536534109883,0.000283734696355005,0.000319998799777433,0.000384639107368888,0.00095108365474173
"2","10-19",6.91432539239767e-05,0.000166690891076304,0.000132272432480418,1.46875152066737e-07,1.08100605402313e-05,1.55807767468152e-05,1.95148057364433e-05,2.30515919776694e-05,2.60903750212363e-05,2.88999074311162e-05,3.15570533826057e-05,3.41983927899069e-05,3.6542945232086e-05,3.90095294966995e-05,4.13814729689837e-05,4.35831366649075e-05,4.59850947512462e-05,4.83448814668767e-05,5.05894910198871e-05,5.28927765270042e-05,5.51484730208872e-05,5.74237414271848e-05,5.96601255969413e-05,6.18779693569899e-05,6.39247036425629e-05,6.60599706671187e-05,6.80690923116317e-05,7.01612345615685e-05,7.22559444115391e-05,7.43216976930369e-05,7.6601943244572e-05,7.87901899009696e-05,8.09137984295369e-05,8.31992301810589e-05,8.54406063368765e-05,8.78455048617888e-05,9.01450313405079e-05,9.23569992899248e-05,9.46708621435821e-05,9.70566827237602e-05,9.94247312199784e-05,0.000101818038091578,0.000104313218940123,0.000106752761985116,0.000109117208286539,0.000111634048287036,0.000114134158809773,0.000116646429841315,0.0001192067941565,0.000121632044940254,0.000124019453116893,0.00012680430893767,0.000129564680634993,0.000132272432480418,0.000135057900614788,0.000138056135069549,0.000140952090631568,0.000143889480945675,0.000146944636734715,0.000149998400378514,0.00015295832680671,0.000155986223009455,0.00015920220546362,0.000162558653348248,0.000165778254633187,0.000169036773333746,0.000172593830007203,0.000176245854303667,0.000179779263187614,0.000183565146775475,0.000187720557320531,0.000191743248231854,0.00019619685191039,0.000200547357629009,0.000204974048229892,0.000209497185829023,0.000214158832596873,0.00021887762176585,0.000224156343718379,0.000229416358762435,0.00023473623593008,0.000240157438709687,0.000246062938382153,0.000252100509209774,0.000258288026188565,0.000265111516628167,0.000272084887291706,0.000279629749851361,0.00028758481128348,0.000296229531211754,0.000305112375676565,0.000315490517149722,0.000325685580644974,0.000337429360750802,0.000350832979061374,0.000365629170679375,0.000383664561002029,0.000401998553847964,0.000424889588839237,0.000452170756122105,0.00048949673698068,0.000539411633683543,0.00062421005930003,0.00152339360758389
"3","20-29",0.000379640632864521,0.000458731418828988,0.000422549813900808,3.24285393504203e-05,0.000118850961652404,0.0001395096476092,0.000153618154641053,0.000164881881257605,0.000175227279468806,0.000183988389080715,0.000192887510361432,0.000200808891752952,0.000208305694143947,0.00021563391652555,0.000222353079073966,0.000228872857725506,0.000234614587568727,0.000240451215774692,0.000246365861048483,0.000252171658212333,0.000257736979467274,0.000263042046927621,0.000268693794880847,0.000273949364282528,0.000279328136321129,0.000284531652506888,0.000289832118323117,0.000295065632756324,0.000299829710374727,0.000304808336141677,0.000309430403184299,0.000314392133910059,0.000319232588057771,0.000323806854738743,0.000328748229007474,0.000333390698570199,0.000338286012973084,0.000343354831840766,0.000348452841740535,0.000353511740805052,0.000358459171530593,0.000363713661209321,0.000368373835164602,0.000373097490880882,0.000377888531643543,0.000382884947563898,0.00038773820344023,0.000392437796964648,0.00039698066721643,0.000401908182377131,0.000407037237236088,0.000412124737546587,0.000417451063264891,0.000422549813900808,0.000427676832101643,0.000432702873328855,0.000437959225541692,0.000443457304559395,0.000449030893358298,0.000454600929935123,0.000459972943136393,0.00046579300931227,0.000471537065904672,0.000477714890279164,0.000483656532094655,0.000489420453587873,0.000495246489734575,0.000501119993957868,0.000507278509322109,0.000513535116600846,0.000520010406628997,0.000526572142189682,0.000533233002578503,0.000539868400568439,0.000546910120335028,0.000554677418017051,0.00056227957435539,0.000570606192924957,0.000578450960061709,0.000586100767521759,0.000594233125953178,0.000602896651557247,0.00061230535575783,0.000622173916940423,0.000632685346932678,0.000643630158872202,0.00065495055822985,0.000666685357728742,0.000679450511876019,0.000693418303458934,0.000706708483728748,0.000720500949734937,0.00073646041300912,0.000753309233602199,0.000772473179457229,0.000793632781312193,0.000814086373477645,0.000839981376180493,0.000867412121300433,0.000903623402725883,0.000946975524675456,0.00100513422211979,0.00110184149864174,0.00208786783197353
"4","30-39",0.000906724428695091,0.00110170437701825,0.00105512574856097,0.000150080434008237,0.000376277517364028,0.000426221291586107,0.000461222766160227,0.000487086202117058,0.000510419029648652,0.000530491419907154,0.000549545968010832,0.000567522145259464,0.000583802964015121,0.000598631686295921,0.00061334606405684,0.000627282497455037,0.000641561254933474,0.000654987910880428,0.000667449827671305,0.000681038175942666,0.000694081796679502,0.000707424463788505,0.000719175344882108,0.000731195543370254,0.000742816183712082,0.00075368702590937,0.000764562468994414,0.000775540657698848,0.000785867394356281,0.000797110120811621,0.00080831414874616,0.000819383677828115,0.000830632635942604,0.000841349896117168,0.000852362077454632,0.000863886065734264,0.000874427172837471,0.000885085633403975,0.000895118797269702,0.000905396034989878,0.000915608065467887,0.000926542367207906,0.000937230392036414,0.000948436638923182,0.000959209057425173,0.000970485723835441,0.000980682058594958,0.000990737240736652,0.00100179416432992,0.00101188304416855,0.00102254170140386,0.00103346529048689,0.00104431190225586,0.00105512574856097,0.00106545780039209,0.00107557921029026,0.0010869790549185,0.0010978732524686,0.00110936464145574,0.00112044719828185,0.0011313199925528,0.0011423578424515,0.00115372223866549,0.00116526667111765,0.00117668829753447,0.00118894766850363,0.00120158241066413,0.00121484280291574,0.00122655489317256,0.00123900877737478,0.00125234238644912,0.00126464273028711,0.00127791885083716,0.00129196791305008,0.00130543751053497,0.00131877544293568,0.00133345317017839,0.00134823953704465,0.00136379019448014,0.0013793267533715,0.00139482618842242,0.00141221819169844,0.00142956214650754,0.00144638929008398,0.00146525510132939,0.00148358920442242,0.0015034226013731,0.0015234587761299,0.00154456505644965,0.00156477882077228,0.00158756532892263,0.00161294937974047,0.00163938369583659,0.00166840533568521,0.00169827436194607,0.00173353495045397,0.00177009008774131,0.00181256070116789,0.00186054973204473,0.00191351248637582,0.00198601160835609,0.0020817012180306,0.00223611821372898,0.00353411414478921
"5","40-49",0.00171790891321697,0.00200017237138411,0.00195135017443538,0.00033357009100323,0.000755234677220699,0.000840242152332725,0.000901753584716661,0.000949333773154749,0.000989774092171703,0.00102758633351484,0.00106215449223693,0.00109408092793324,0.00112446867368725,0.00115387028505372,0.00117945128608994,0.001203485208078,0.00122865819742251,0.00125216733987101,0.00127507969782919,0.00129767306357679,0.00131965085891171,0.0013405671157582,0.00136295464613334,0.00138383791957297,0.00140507539295532,0.00142617483522414,0.00144588929309393,0.00146681629524755,0.00148725628455364,0.00150692987742837,0.00152595763163283,0.00154499120463748,0.00156456856304274,0.00158358856226729,0.00160178825873608,0.00161938291534906,0.00163829459040865,0.00165689049116428,0.00167599499350704,0.00169347698943986,0.00171137889891722,0.00172832607301192,0.0017458990299382,0.00176386401742082,0.00178336919551396,0.00180169310666764,0.0018203721346893,0.00183970558728795,0.0018581929321007,0.00187638368439438,0.00189388598047601,0.00191368521646693,0.00193315218948983,0.00195135017443538,0.00197035991459408,0.00198920610983993,0.00200749284895082,0.00202593526740799,0.00204491040947998,0.00206332393981133,0.00208323970178143,0.00210208595626816,0.00212234159008145,0.00214235570993401,0.00216192479916525,0.00218179018665207,0.00220049156497214,0.00221920572339385,0.00224042364168602,0.00226086127386139,0.00228122113287696,0.00230300069847153,0.00232447864238922,0.00234681756202583,0.00237014181311572,0.00239393573779416,0.00241571945912542,0.002438650542988,0.002462281472874,0.00248651193518443,0.00250979822122122,0.0025336956009525,0.00255951947163179,0.00258540051965115,0.00261238643758767,0.00264106865070185,0.00267111664510963,0.00269963598105989,0.00273062140526144,0.00276320886520381,0.00279697214913482,0.00283174332629313,0.0028715854133981,0.0029126780222345,0.00295666610705033,0.00300381306214906,0.00305744873413457,0.00311881198531315,0.0031841571212985,0.00326159350102263,0.00335181563440747,0.0034784658555048,0.00367479386333726,0.00552998664642902
"6","50-59",0.00745415560296464,0.008313475643192,0.00821430112366592,0.0015441225988126,0.00335963667107407,0.00369983109523775,0.00394087840972532,0.00415255579733615,0.00431689674513896,0.00446542548064296,0.00459994255930628,0.00473667152081091,0.00485152755273937,0.00496818096437889,0.00507968125596721,0.00518355418292339,0.00528094890885408,0.00538013760238227,0.00547307831966697,0.00557080145513973,0.00566545950932661,0.00575323268041786,0.00584217643726505,0.00592610203128881,0.00600954411712766,0.00609761202555355,0.00617943421066484,0.0062589354210201,0.00633564508660825,0.00641251857376487,0.00649095131308129,0.00656798421536654,0.00664398663240126,0.00671335484416221,0.00678856405344132,0.00686342916864439,0.00694091115790317,0.00701729963587819,0.00709240755776111,0.00716530408557079,0.00724289441375724,0.0073173693139813,0.00739245223079268,0.00746108665797253,0.00753088093908581,0.00760302705125751,0.00767715350258723,0.00775397611510708,0.00783208053530856,0.00790974814753052,0.00798438725325363,0.00806439301774411,0.00813753138652541,0.00821430112366592,0.00828851564410935,0.00836637575396083,0.0084449477122579,0.00851794744941254,0.00859639617959692,0.00867806377800715,0.00875905705404663,0.00882991671747172,0.00891239918958839,0.00899053445702184,0.00906538831843376,0.00914409383402619,0.00922185316078033,0.009307990897984,0.00939035830380088,0.00947041135248775,0.00955322095309633,0.00963837146924321,0.00972253042323898,0.00980872472995665,0.00989381103319066,0.00997850974958543,0.0100636209761972,0.0101528120467634,0.0102480669168319,0.0103331311794651,0.0104233654358845,0.0105135367628602,0.0106025050544734,0.0106945971595203,0.0107856593698932,0.0108853158612758,0.0109840781395788,0.0110887177549984,0.0111835902870349,0.0112940708897469,0.0114106579019734,0.0115290326905525,0.011654310440278,0.0117805567873874,0.0119147363535371,0.0120577959616979,0.0122110494984475,0.0123818868481919,0.0125815443104949,0.0128012298536726,0.0130627740962695,0.0133998928090642,0.0139130081667017,0.0169781297579817
"7","60-69",0.0217548805581649,0.0257536420488395,0.0255428370355233,0.0051455771976271,0.010469482070179,0.0115515504621701,0.012366845424126,0.0129719703974514,0.0134807160460305,0.0139575228573649,0.0143785558862623,0.0147768335286472,0.0151465412164969,0.0155006949516236,0.0158703280236623,0.0161968276125628,0.0165207551205931,0.0167951575660867,0.0170941620435657,0.0173777877841775,0.0176628222358255,0.0179326640529963,0.0182400242132006,0.0184937367797294,0.018748835762924,0.0190108344618099,0.019270819069657,0.0195068445444138,0.0197750045816239,0.0200331492092516,0.0202772375597525,0.0205109262225847,0.020740789003149,0.0209785829329697,0.0212127163445891,0.0214266411808788,0.0216573135539593,0.0218691227630245,0.0220948318162974,0.022309062154943,0.022541112299897,0.02279601183941,0.0230265980546602,0.0232581129829679,0.0234837846191835,0.0237172834366951,0.0239420600172819,0.0241594926483158,0.0243916423617631,0.0246086280918569,0.0248508569741161,0.0250794968003647,0.0253159496945069,0.0255428370355233,0.02576750143204,0.0260152232569052,0.0262496021011944,0.026484994752193,0.0267171569046617,0.0269543481153813,0.0271933091876417,0.0274182244135297,0.0276503255711959,0.027903741607804,0.0281535328478393,0.0284077153811334,0.0286639031544119,0.0289034915580744,0.0291572751166722,0.0294083877560994,0.0296579668725075,0.0299186599873173,0.0301858658744035,0.030446711674184,0.0306984662902179,0.0309707386810709,0.0312373411132131,0.031514217158054,0.03177556872885,0.0320419492275274,0.0323018791768644,0.0325789144554429,0.0328568082963695,0.0331352166369305,0.033407727399869,0.0336809909630236,0.0339589331639003,0.0342519933513087,0.0345616339872641,0.0348903735100336,0.0352139879150714,0.0355283312284744,0.0358684160340095,0.0362093929680386,0.0365784721400182,0.0369648120355096,0.0373926199304833,0.0378458226126615,0.0383782709222747,0.0389831620432585,0.0396474287014093,0.0405256401264582,0.0417545661029352,0.0500462154314166
"8","70-79",0.0487363659753201,0.0564436150599778,0.0559680316912362,0.0111378179479063,0.0230305778122721,0.0254672573631914,0.027039512971334,0.0283969384011432,0.0295805984133661,0.0305952371595303,0.0315303388369447,0.0324337411071275,0.0332419161701487,0.03403355939539,0.0347447789149962,0.0354559622452833,0.0361550265304115,0.0368196387107401,0.0374630397209476,0.0381327446259535,0.0387975027137827,0.0394269628023095,0.0400151868625551,0.0405890077541513,0.0411914873298973,0.0417468019027785,0.042295044144004,0.0428266365627815,0.0433612681290753,0.0439027984039778,0.0444254375428059,0.0449615057579455,0.0454724931536893,0.0460233120058782,0.046538278895653,0.0470205562530452,0.0475027890517751,0.0479879814524698,0.0484748389907774,0.0489640274850805,0.0494490347920832,0.0499453084738791,0.0503965863796959,0.0509096091921562,0.0514619159138146,0.051954291271798,0.0524493908258172,0.0529415554917354,0.0534516452105264,0.0539451422082813,0.0544124320038468,0.0549153132862358,0.0554489609532071,0.0559680316912362,0.0564810405390049,0.0570088630310967,0.0575331622985342,0.0580598462607296,0.0585664064221676,0.059103612658341,0.0596288684201437,0.0601390846254175,0.060639794706896,0.0611789655925759,0.0617191094093011,0.0622686491923918,0.0627871102740611,0.0633665814346946,0.0639188076786404,0.0644987802813074,0.0650962185179204,0.0656874268188355,0.0662682892655908,0.0668122114433697,0.0673673812099706,0.0679457737632643,0.0684797795839814,0.0690463679735347,0.069577271966477,0.0701580671074606,0.070757492477934,0.07134501722341,0.0719152500368931,0.0725117734298452,0.0731348541552453,0.0737658198789172,0.0744060103541414,0.0750827964136184,0.0757062974814104,0.0763856641178583,0.0770631725402207,0.0777836682003561,0.07850458799695,0.0792633325312167,0.0801166423954369,0.0810154257737948,0.0819235186588689,0.0829659776812905,0.0840589320993257,0.0852572148778995,0.0866118307369241,0.088639053320004,0.091563200047446,0.113260414913092
"9","80+",0.0738914088575295,0.0876746341892057,0.0867883716745405,0.0170577478489505,0.0354575370741639,0.0393316443297775,0.0418506288211627,0.0438589496477794,0.0457068485659161,0.0473954656192164,0.0488230189565891,0.0502110883316952,0.0515420657473677,0.0528690961808734,0.0540387478764451,0.0550954399002177,0.0560976026198726,0.0571531786845085,0.0581771802433109,0.0591478672280223,0.0601112451426654,0.0610315163601965,0.0620087908787646,0.0629345798246831,0.0638383622608217,0.064692673494045,0.065540898889825,0.0664618560040894,0.0672485694333375,0.0680318791712104,0.0688644873702427,0.0697116393493943,0.0704806965086594,0.0712502061632526,0.0720204022242626,0.072774969991407,0.073573906820234,0.0743450261681802,0.0750673891309297,0.0758648962488637,0.0765958662758541,0.0774243418123641,0.0782433413216338,0.0789768003302382,0.0797729133343335,0.0805505158042338,0.0812873627334547,0.0820515437345641,0.0828589435808828,0.0835896357621,0.0843824089758393,0.085150115229132,0.0859358032480356,0.0867883716745405,0.0875676886543443,0.0883560839362823,0.0891970896182891,0.0899598271652082,0.090758840829897,0.0915048854548531,0.0923244466830697,0.0931913196507043,0.0939899282756496,0.0948350969558071,0.0957451438373741,0.0966070312947448,0.0974202471686658,0.0982390196629906,0.0991314668728456,0.0999992756886592,0.100805733595481,0.101681235293006,0.102568598610427,0.10348340557221,0.104426509065044,0.105310689507464,0.106233420585044,0.107119703545906,0.107911148267795,0.108911901562201,0.109834741723007,0.110803679308065,0.111710400653448,0.112676292131012,0.113598148478092,0.114653297119231,0.115716718727363,0.116692577280998,0.117740219147975,0.118776812663311,0.119918246544924,0.121122251888356,0.122282549445332,0.123490769621505,0.124911454047496,0.126333419829878,0.127898796842804,0.129661117318502,0.131550920703528,0.133594128414565,0.1360967792348,0.13931193358467,0.144188550262399,0.183632500929665
